,Title,Author,num_ratings,Average Rating,Number of Awards,Year First Published,Number of Reviews,Genre,Location
689,The Elegance of the Hedgehog,Kurt Vonnegut Jr.,118164,4.14,N/A,2006,1025,N/A,N/A
690,Cosmos,Muriel Barbery,152765,3.77,N/A,1980,7534,"Fantasy, Young Adult, Fiction, Fantasy >, Magic, Adult, Audiobook, Adventure, Historical >, Historical Fiction, Fantasy >, Urban Fantasy, Science Fiction Fantasy, See top shelves…","London, England,, 1819"
691,Matching Configurations,Carl Sagan,119299,4.37,N/A,2019,4359,"Classics, Poetry, Cultural >, Russia, Fiction, Literature >, Russian Literature, Literature, Literature >, 19th Century, Romance, Novels, Academic >, School, See top shelves…",N/A
692,Grimm's Fairy Tales,Kyle Keyes,5095,4.39,N/A,1909,3828,N/A,"Seattle, Washington, United States), Washington (state), United States)"
693,Odd Thomas,Jacob Grimm,24539,4.13,N/A,2003,15426,"Young Adult, Paranormal >, Vampires, Fantasy, Fantasy >, Paranormal, Romance, Romance >, Paranormal Romance, Fantasy >, Supernatural, Fantasy >, Urban Fantasy, Fiction, Young Adult >, Teen, See top shelves…",United States of America
694,Message in a Bottle,Dean Koontz,254896,3.97,N/A,1988,7128,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Audiobook, Young Adult >, Young Adult Contemporary, Young Adult >, Teen, Young Adult >, Coming Of Age, Young Adult >, Young Adult Romance, See top shelves…","Literary Awards, South Carolina Book Award for Young Adult (2018), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017), Rhode Island Teen Book Award (2017), Evergreen Teen Book Award (2018), Soaring Eagle Book Award (2016), more, Milwaukee County Teen Book Award Nominee (2017), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2016), Eliot Rosewater Indiana High School Book Award (2018), Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015), Missouri Gateway Readers Award Nominee (2017), less                "
695,Bury My Heart at Wounded Knee: An Indian History of the American West,Nicholas Sparks,216471,3.96,N/A,1970,11484,N/A,"Berlin, Germany), Washington, D.C., United States), Hawaii, United States), more, Germany, Italy, Atlantic Ocean, Pearl Harbor, Hawaii, United States), Manila,, 1941, Philippines), Siena, Italy), less"
696,Prodigy,Dee Brown,69363,4.21,N/A,2013,28056,N/A,Other Editions (171)
697,Twenty Thousand Leagues Under the Sea,Marie Lu,207523,4.26,N/A,1870,1844,N/A,"Montana, United States)"
698,The No. 1 Ladies' Detective Agency,Jules Verne,203274,3.89,N/A,1998,4908,N/A,Other Editions (73)
699,Carry On,Alexander McCall Smith,236140,3.79,N/A,2015,7361,N/A,N/A
700,The Power of Myth,Rainbow Rowell,218776,4.21,N/A,1988,4627,N/A,Other Editions (36)
701,Glass Houses,Joseph Campbell,45313,4.26,N/A,2006,2847,N/A,Other Editions (142)
702,The Alienist,Rachel Caine,95789,3.91,4.0,1994,9613,N/A,N/A
703,Lover Revealed,Caleb Carr,156186,4.05,2.0,2007,12491,"Romance, New Adult, Contemporary, Romance >, Contemporary Romance, Adult, Adult Fiction >, Erotica, Fiction, Womens Fiction >, Chick Lit, Romance >, Erotic Romance, Adult Fiction, See top shelves…","Edinburgh, Scotland"
704,Love Story,J.R. Ward,123799,4.29,N/A,1970,2468,N/A,"Literary Awards, National Book Award for Young People's Literature (2007), Odyssey Award (2009), American Indian Library Association Award, South Carolina Book Award Nominee for Young Adult Book Award (2010), Rhode Island Teen Book Award Nominee (2009), more, Michigan Library Association Thumbs Up! Award Nominee (2008), Florida Teens Read Nominee (2009), American Indian Youth Literature Award for Best Young Adult Book (Award Retroactively Rescinded in 2018) (2008), Boston Globe-Horn Book Award for Fiction (2008), The Inky Awards Nominee for Silver Inky (2009), California Young Readers Medal for Young Adult (2010), Lincoln Award Nominee (2011), James Cook Book Award Nominee (2009), The Inky Awards Shortlist for Silver Inky (2009), less                "
705,The Bluest Eye,Erich Segal,53270,3.62,N/A,1970,4524,N/A,Setting
706,Confessions of a Shopaholic,Toni Morrison,179223,4.07,N/A,2000,5524,"Romance, Young Adult, Contemporary, Romance >, Contemporary Romance, Realistic Fiction, Young Adult >, High School, Womens Fiction >, Chick Lit, New Adult, Fiction, Young Adult >, Young Adult Romance, See top shelves…",Setting
707,Ivanhoe,Sophie Kinsella,656113,3.66,N/A,1819,25,N/A,Other Editions (4)
708,Angle of Repose,Walter Scott,88789,3.75,N/A,1971,19107,"Childrens >, Picture Books, Childrens, Humor, Fiction, Fantasy >, Fairy Tales, Fantasy, Short Stories, Classics, Kids, Folklore, See top shelves…",Other Editions (12)
709,Club Dead,Wallace Stegner,55553,4.22,N/A,2003,11283,N/A,"Virginia, United States)"
710,Quantum Roots,Charlaine Harris,225788,4.01,N/A,2012,34,N/A,Other Editions (158)
711,Emma,Kyle Keyes,8782,4.34,N/A,1815,16510,N/A,Germany
712,The Edge of Never,Jane Austen,668898,4.01,N/A,2012,5274,N/A,"Literary Awards, Locus Award Nominee for Best SF Novel (1978), British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)"
713,The Awakening: Fate in Motion,J.A. Redmerski,142384,4.23,N/A,2018,6981,N/A,Setting
714,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Suzanne Boisvert,6628,4.31,N/A,2005,3274,N/A,N/A
715,Ender's Shadow,Steven D. Levitt,725731,3.98,5.0,1999,4035,"Young Adult, Fantasy, Fantasy >, Paranormal, Romance, Fantasy >, Supernatural, Romance >, Paranormal Romance, Fiction, Fantasy >, Magic, Fantasy >, Urban Fantasy, Young Adult >, Teen, See top shelves…",Setting
716,Walk Two Moons,Orson Scott Card,156740,4.3,N/A,1994,8634,N/A,N/A
717,The Shell Seekers,Sharon Creech,154542,3.96,N/A,1987,2822,N/A,"Isle of Skye, Scotland, Tulsa, Oklahoma, United States)"
718,Lover Avenged,Rosamunde Pilcher,95739,4.16,2.0,2009,39482,N/A,N/A
719,Princess Academy,J.R. Ward,106395,4.37,4.0,2005,4845,N/A,"Literary Awards, Nebula Award Nominee for Best Novel (1976), National Book Award Finalist for Translation (1975)"
720,The Aeneid,Shannon Hale,109346,4.0,N/A,9019,60243,N/A,Terre D'Ange
721,To All the Boys I've Loved Before,Virgil,108156,3.85,N/A,2014,7002,"Christian Fiction, Fiction, Christian, Fantasy, Thriller, Religion, Spirituality, Religion >, Christianity, Religion >, Faith, Fantasy >, Supernatural, See top shelves…",United States of America
722,A Canticle for Leibowitz,Jenny Han,519861,4.14,N/A,1959,9519,N/A,N/A
723,The Hate U Give,Walter M. Miller Jr.,95911,3.97,N/A,2017,6214,N/A,"Literary Awards, Rosenthal Family Foundation Award (1967)"
724,Living Dead in Dallas,Angie Thomas,537682,4.51,N/A,2002,9299,"Nonfiction, Science, History, Biography, Health >, Medicine, Audiobook, Medical, Book Club, Biography Memoir, Historical, See top shelves…","Baltimore, Maryland, United States), Clover, Virginia, United States)"
725,The Corrections,Charlaine Harris,240205,3.96,N/A,2001,12946,N/A,"Hamburg,, 1863, Germany), Reykjavik (Reykjavík),, 1863, Iceland), Snæfellsjökull,, 1863, Iceland), more, Inside Earth,, 1863, Stromboli,, 1863, Italy), less"
726,The Witch of Blackbird Pond,Jonathan Franzen,159594,3.8,N/A,1958,15005,N/A,Other Editions (169)
727,Anthem,Elizabeth George Speare,138118,3.98,N/A,1938,15994,N/A,"New York City, New York, United States), Poland, Auschwitz-Birkenau, Poland)"
728,The Omnivore's Dilemma: A Natural History of Four Meals,Ayn Rand,133318,3.63,N/A,2006,933,N/A,"Vienna, Austria), Iran, Tehran,, 1980, Iran)"
729,Under the Dome,Michael Pollan,187119,4.16,N/A,2009,10091,"Fantasy, Fiction, Magical Realism, Romance, Paranormal >, Witches, Fantasy >, Magic, Fantasy >, Paranormal, Womens Fiction >, Chick Lit, Adult, Adult Fiction, See top shelves…","Massachusetts, United States)"
730,Unravel Me,Stephen King,263046,3.91,N/A,2013,3938,N/A,"Seattle, Washington,, 1997, United States), Wales, Dublin, Ireland), more, Scotland,, 1513, less"
731,Collected Fictions,Tahereh Mafi,177821,4.22,N/A,1998,23138,N/A,"Cenaria, Midcyru"
732,Rubinrot,Jorge Luis Borges,20812,4.58,N/A,2009,2590,N/A,N/A
733,Song of Solomon,Kerstin Gier,117600,4.09,N/A,1977,9514,N/A,"Danzig, Düsseldorf, Germany), Germany, more, Poland, Gdańsk, Poland), less"
734,The Death Cure,Toni Morrison,87914,4.09,N/A,2011,1114,N/A,Other Editions (235)
735,The Story of My Life,James Dashner,346530,3.77,N/A,1902,7194,N/A,N/A
736,Digital Fortress,Helen Keller,134840,4.07,N/A,1998,17554,N/A,"Los Angeles, California,, 2012, United States)"
