,url,title,author,num_ratings,avg_rating
94,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,Ernest Hemingway,"855,062", 3.79 
95,https://www.goodreads.com/book/show/33648131-the-notebook,"The Notebook (The Notebook, #1)",Nicholas Sparks,"1,359,799", 4.11 
96,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,Edgar Allan Poe,"225,412", 4.37 
97,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"278,415", 4.33 
98,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"494,182","really liked it
 4.00 "
99,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,A Prayer for Owen Meany,John Irving,"288,637", 4.23 
100,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale",Herman Melville,"485,443", 3.51 
101,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"2,671,507", 4.56 
102,https://www.goodreads.com/book/show/4989.The_Red_Tent,The Red Tent,Anita Diamant,"527,580", 4.18 
103,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,The Secret Life of Bees,Sue Monk Kidd,"1,133,668", 4.06 
104,https://www.goodreads.com/book/show/7171637-clockwork-angel,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"688,102", 4.31 
105,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"2,506,116", 4.57 
106,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,And Then There Were None,Agatha Christie,"861,071", 4.26 
107,https://www.goodreads.com/book/show/2187.Middlesex,Middlesex,Jeffrey Eugenides,"587,729", 4.01 
108,https://www.goodreads.com/book/show/49552.The_Stranger,The Stranger,Albert Camus,"729,595", 3.99 
109,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,The Master and Margarita,Mikhail Bulgakov,"251,006", 4.29 
110,https://www.goodreads.com/book/show/11588.The_Shining,The Shining,Stephen King,"1,155,864", 4.23 
111,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"739,179", 4.52 
112,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,Mark Twain,"774,894", 3.91 
113,https://www.goodreads.com/book/show/113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"1,469,964", 3.91 
114,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"683,070", 4.14 
115,https://www.goodreads.com/book/show/36576608-flowers-for-algernon,Flowers for Algernon,Daniel Keyes,"490,576", 4.15 
116,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis,Franz Kafka,"667,472", 3.83 
117,https://www.goodreads.com/book/show/70401.On_the_Road,On the Road,Jack Kerouac,"355,299", 3.62 
118,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,Looking for Alaska,John Green,"1,144,671", 4.02 
119,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"1,219,405", 3.89 
120,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"478,996", 4.27 
121,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,Eric Carle,"406,881", 4.29 
122,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,Tuesdays with Morrie,Mitch Albom,"801,195", 4.12 
123,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being,Milan Kundera,"351,272", 4.10 
124,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"2,815,091", 4.43 
125,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,The Name of the Rose,Umberto Eco,"307,209", 4.13 
126,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows,Where the Red Fern Grows,Wilson Rawls,"349,252", 4.08 
127,https://www.goodreads.com/book/show/22034.The_Godfather,The Godfather,Mario Puzo,"342,990", 4.36 
128,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,The Scarlet Letter,Nathaniel Hawthorne,"716,906", 3.41 
129,https://www.goodreads.com/book/show/168642.In_Cold_Blood,In Cold Blood,Truman Capote,"543,814", 4.07 
130,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven,Mitch Albom,"588,503", 3.94 
131,https://www.goodreads.com/book/show/36236124-fight-club,Fight Club,Chuck Palahniuk,"507,680", 4.18 
132,https://www.goodreads.com/book/show/6339664-hush-hush,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"589,288", 3.96 
133,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo,Alexandre Dumas,"759,271", 4.26 
134,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"441,876", 4.17 
135,https://www.goodreads.com/book/show/30165203-american-gods,"American Gods (American Gods, #1)",Neil Gaiman,"776,684", 4.10 
136,https://www.goodreads.com/book/show/343.Perfume,Perfume: The Story of a Murderer,Patrick Süskind,"341,278", 4.02 
137,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"2,185,198", 4.22 
138,https://www.goodreads.com/book/show/256008.Lonesome_Dove,Lonesome Dove (Lonesome Dove #1),Larry McMurtry,"152,572", 4.47 
139,https://www.goodreads.com/book/show/38709.Holes,"Holes (Holes, #1)",Louis Sachar,"991,013", 3.97 
140,https://www.goodreads.com/book/show/4556058-the-last-olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"692,084", 4.50 
141,https://www.goodreads.com/book/show/830502.It,It,Stephen King,"826,782", 4.24 
142,https://www.goodreads.com/book/show/472331.Watchmen,Watchmen,Alan Moore,"493,146", 4.36 
143,https://www.goodreads.com/book/show/114345.The_Little_House_Collection,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"143,369", 4.34 
144,https://www.goodreads.com/book/show/6656.The_Divine_Comedy,The Divine Comedy,Dante Alighieri,"123,877", 4.04 
145,https://www.goodreads.com/book/show/34268.Peter_Pan,Peter Pan,J.M. Barrie,"288,293", 4.04 
146,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,All Quiet on the Western Front,Erich Maria Remarque,"360,940", 3.99 
147,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"2,972,114", 4.28 
148,https://www.goodreads.com/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,"8,510", 4.45 
149,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,Love in the Time of Cholera,Gabriel García Márquez,"421,344", 3.92 
150,https://www.goodreads.com/book/show/11735983-insurgent,"Insurgent (Divergent, #2)",Veronica Roth,"1,197,291", 4.02 
151,https://www.goodreads.com/book/show/2802316-shadow-kiss,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,"333,160", 4.34 
152,https://www.goodreads.com/book/show/3412.The_Thorn_Birds,The Thorn Birds,Colleen McCullough,"318,912", 4.23 
153,https://www.goodreads.com/book/show/35545737-a-walk-to-remember,A Walk to Remember,Nicholas Sparks,"686,249", 4.18 
154,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_,How the Grinch Stole Christmas!,Dr. Seuss,"341,135", 4.35 
155,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"292,144", 4.36 
