url,title,author,num_ratings,avg_rating,awards,original_publish_year,norm_mean,norm_max_min
https://www.goodreads.com/book/show/6644117-the-iron-king,The Complete Poems of Emily Dickinson,Julie Kagawa,198700,3,,1890,-4.805,1.0
https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson,Vanity Fair,Emily Dickinson,78950,4,,1848,4.195,10.0
https://www.goodreads.com/book/show/5797.Vanity_Fair,Brideshead Revisited,William Makepeace Thackeray,119909,3,,1945,-4.805,1.0
https://www.goodreads.com/book/show/30933.Brideshead_Revisited,Of Human Bondage,Evelyn Waugh,94338,4,,1915,4.195,10.0
https://www.goodreads.com/book/show/31548.Of_Human_Bondage,Mistress Suffragette,W. Somerset Maugham,51516,4,,2017,4.195,10.0
https://www.goodreads.com/book/show/34521870-mistress-suffragette,The God Delusion,Diana   Forbes,7567,4,,2006,4.195,10.0
https://www.goodreads.com/book/show/14743.The_God_Delusion,World War Z: An Oral History of the Zombie War,Richard Dawkins,237426,3,,2006,-4.805,1.0
https://www.goodreads.com/book/show/8908.World_War_Z,Snow Crash,Max Brooks,450551,4,,1992,4.195,10.0
https://www.goodreads.com/book/show/40651883-snow-crash,A Great and Terrible Beauty,Neal Stephenson,240278,4,2.0,2003,4.195,10.0
https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty,Bared to You,Libba Bray,214298,3,2.0,2012,-4.805,1.0
https://www.goodreads.com/book/show/20448515-bared-to-you,The War of the Worlds,Sylvia Day,459858,4,,1898,4.195,10.0
https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,The Witching Hour,H.G. Wells,250304,3,,1990,-4.805,1.0
https://www.goodreads.com/book/show/11901.The_Witching_Hour,City of Glass,Anne Rice,103357,4,,2009,4.195,10.0
https://www.goodreads.com/book/show/3777732-city-of-glass,Red Queen,Cassandra Clare,815257,4,,2015,4.195,10.0
https://www.goodreads.com/book/show/22328546-red-queen,The Summoning,Victoria Aveyard,594578,4,,2008,4.195,10.0
